Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Female,Below 18,5,15,"Fiction, Mystery, Adventure, Fantasy, Romance","Rebellion, Love (romance), Survival, Coming of age","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,Afternoon,"Daily, > 60 minutes","In a library, At home, Other","Print book, E-book","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends, I like to browse books on my own",One of us is lying
Female,18-21,4,5,Fiction,Love (romance),"School/College Assignments, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores",I like to browse books on my own,The Great Gatsby
Female,Below 18,5,10,"Fiction, Mystery, Adventure, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Power and corruption, Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Character focused,"Evening, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book","Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",child 44
Female,18-21,5,35,"Fiction, Mystery, Adventure, Biography, Fantasy, Other","Rebellion, Vengeance, Love (romance), Suffering, Power and corruption, Moral ambiguity, Other","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Other",Character focused,"Morning, Night","Daily, 30-60minutes",At home,"Print book, E-book, Magazines, Websites","Online, places like Amazon, Book Stores","Online/Social Media, I like to browse books on my own",The shadow of the wind or Kafka on the shore
Female,18-21,5,20,"Mystery, Adventure, Romance, Other","Love (romance), Survival, Suffering","Enjoyment, Relaxation","In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,Afternoon,"Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon",Online/Social Media,Pride and prejudice
Female,Below 18,5,25,"Mystery, Adventure, Fantasy, Romance","Rebellion, Love (romance), Suffering, Power and corruption","Recommendations from a friend, Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Evening, Night","Daily, <30 minutes",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",The love hypothesis and the cruel prince are some of my faves
Female,Below 18,3,4,"Fiction, Mystery, Adventure, Fantasy, Other",Other,"Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Afternoon, Evening, Night","Daily, 30-60minutes","In a library, At home","Print book, E-book, Websites, Others",Book Stores,"Online/Social Media, I like to browse books on my own",None
Female,18-21,4,6,"Fiction, Biography, Fantasy, Romance, Other","Love (romance), Coming of age, Suffering, Moral ambiguity, Other","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Other",Plot focused,"Evening, Night","Daily, 30-60minutes","In a library, While commuting, At home","Print book, E-book","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Quichotte by Salman Rushdie
Female,Below 18,4,4,"Comics, Sci-Fi, Other","Rebellion, Suffering, Moral ambiguity, Other","Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes, Other",Plot focused,"Evening, Night","Daily, 30-60minutes","In a library, At home, Other",Print book,Book Stores,Online/Social Media,Cr�nicas de una muerte anunciada
Female,Below 18,5,30,"Fiction, Fantasy, Romance","Love (romance), Coming of age","Recommendations from a friend, Enjoyment, Relaxation",In-depth lore that you can escape into outside the confines of a book,Character focused,Night,"Daily, 30-60minutes","While commuting, At home",Print book,"Online, places like Amazon","Online/Social Media, Friends",None
Female,18-21,5,50,"Fiction, Adventure, Fantasy, Romance, Comics, Sci-Fi, Self Help","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Morning, Evening, Night","Daily, > 60 minutes",At home,"Print book, E-book, Applications, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Ads on TV/Computer, I like to browse books on my own",The red umbrella
Female,18-21,3,5,"Fiction, Adventure, Biography","Love (romance), Survival, Coming of age","Recommendations from a friend, Enjoyment","Interesting character arcs, Exciting action scenes, Other",Plot focused,"Morning, Afternoon","Daily, 30-60minutes",At home,Others,Book Stores,"Online/Social Media, Friends",The magic shop
Female,Below 18,5,30,"Fiction, Mystery, Romance","Love (romance), Coming of age","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs",Character focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes","In a library, At home","Print book, E-book","Online, places like Amazon, Book Stores",I like to browse books on my own,A good girls guide to murder
Female,Below 18,4,15,"Fiction, Adventure, Biography, Fantasy, Romance","Love (romance), Suffering, Power and corruption",Enjoyment,"Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book",Plot focused,Evening,"Daily, > 60 minutes",At home,Print book,"Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school",I like to browse books on my own,the magpie society
Female,Below 18,5,40,"Fiction, Fantasy, Romance","Rebellion, Love (romance), Coming of age, Power and corruption","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, Exciting action scenes",Character focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes","In a library, At home, Other","Print book, E-book, Newspaper, Websites","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school, Other","Online/Social Media, Friends, I like to browse books on my own",The Fault in Our Stars
Female,21-24,3,0,"Fiction, Mystery, Fantasy, Romance","Rebellion, Love (romance), Survival, Power and corruption, Moral ambiguity",Relaxation,"Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Weekly, once",Other,"Print book, E-book, Magazines, Websites","Online, places like Amazon, Other","Online/Social Media, Other",None
Male,18-21,5,25,"Fiction, Mystery, Adventure, Biography, Sci-Fi","Rebellion, Coming of age, Suffering, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Morning, Night","Daily, 30-60minutes","At home, Other","Print book, E-book, Newspaper, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",The kite runner
Female,18-21,5,50,"Fiction, Mystery, Biography, Fantasy, Romance, Self Help","Love (romance), Survival, Coming of age, Suffering, Moral ambiguity","School/College Assignments, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes","In a library, At home, Other","Print book, E-book, Newspaper, Websites","Online, places like Amazon, Book Stores",Online/Social Media,And the mountains echoed
Female,Below 18,4,5,Romance,Love (romance),"Enjoyment, Relaxation","Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Evening,"Daily, <30 minutes",At home,Print book,"Online, places like Amazon, Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own","the summer i turned pretty, the minute i saw you"
Female,18-21,5,4,"Fiction, Mystery, Adventure, Fantasy, Romance, Comics, Sci-Fi, Other","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Other","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Plot focused,"Afternoon, Evening, Night","Daily, > 60 minutes","In a library, At home, Other","Print book, E-book, Applications, Websites, Others","Online, places like Amazon, Book Stores, Other","Online/Social Media, Ads on TV/Computer, I like to browse books on my own",It Ends With Us
Female,18-21,5,7,"Fiction, Mystery, Adventure, Fantasy, Romance","Love (romance), Survival, Coming of age, Suffering, Power and corruption","School/College Assignments, Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Morning, Evening, Night","Weekly, once","In a library, At home",Print book,"Book Stores, Other","Online/Social Media, Friends, I like to browse books on my own",Welcome Home
